DEPTH_MD,X_LOC,Y_LOC,Z_LOC,CALI,RMED,RDEP,GR,NPHI,PEF,DRHO,DTC,SP,BS,Cluster,Lithology
1537.2784,520157.59375,6753015.0,-1514.570923,16.915090561,0.6781862182010062,0.6766964607769086,5.049860408842414,0.4898551404,1.656148813767341,0.03421400741630193,136.14369202,142.23539734,12.250000954,0,Lithology A
1537.4304,520157.5625,6753015.0,-1514.721436,17.062044144,0.668361448536594,0.6645509697630672,5.071149902959527,0.5074436069,1.6790170200377426,0.02736722228943355,138.06678772,141.8349762,12.250000954,0,Lithology A
1537.5824,520157.5625,6753015.0,-1514.871826,17.215484619,0.6630864754667342,0.6634235728162201,5.0488906186554745,0.5173023939,1.705233394678326,0.023611174485943784,139.61169434,142.05117798,12.250000954,0,Lithology A
1537.7344,520157.53125,6753015.0,-1515.022217,17.230670929000002,0.6516409042118559,0.6509304050869005,5.037921363337873,0.542875886,1.7680466860917323,0.022973961628695527,142.07710266,142.47523499,12.250000954,0,Lithology A
1537.8864,520157.5,6753015.0,-1515.172607,17.227697372,0.6287690545583865,0.6276162505075065,5.045936608932889,0.5591928959,1.794917338772094,0.015734873919430774,144.96929932,142.21342468,12.250000954,0,Lithology A
1538.0384,520157.5,6753015.0,-1515.32312,17.5128479,0.5985911382974084,0.5981362577337839,5.068628258365064,0.5478826761,1.8421116364226389,0.013118302083583739,145.66172791,142.3735199,12.250000954,0,Lithology A
1538.1904,520157.46875,6753015.0,-1515.473511,17.432981491,0.5757428420824827,0.5743911436851175,5.106649442299097,0.5386721492000001,1.8532204314888112,0.008367518668582761,142.90939331,143.03198242,12.250000954,0,Lithology A
1538.3424,520157.46875,6753015.0,-1515.623901,17.419445038,0.5757052041300013,0.5708642935036785,5.093345620631681,0.5349089503,1.7918028604699747,0.006075470397262181,140.36105347,142.84185791,12.250000954,0,Lithology A
1538.4944,520157.4375,6753015.0,-1515.774292,17.394609450999997,0.5941999861891858,0.5888276875166638,5.094909664381278,0.5401268005,1.6847182981894688,0.006252851315618922,137.14108276,142.65158081,12.250000954,0,Lithology A
1538.6464,520157.4375,6753015.0,-1515.924805,17.422571182000002,0.6337087566418995,0.6321531540595009,5.130477478531361,0.5294574499,1.6172202421375328,0.0026296105416451763,135.77096558,143.06643677,12.250000954,0,Lithology A
1538.7984,520157.40625,6753015.0,-1516.075195,17.471630096,0.6588099082994218,0.6552798545170322,5.112849171175481,0.5196863413,1.6270654627880585,-0.0003554441627925947,134.81111145,143.5296936,12.250000954,0,Lithology A
1538.9504,520157.40625,6753015.0,-1516.225586,17.462932587,0.6904482494698264,0.6837130607659194,5.11805566798869,0.5187574625,1.6814616045273043,0.007645502022179898,135.09681702,143.77116394,12.250000954,0,Lithology A
1539.1024,520157.375,6753015.0,-1516.375977,17.5225811,0.6977258822884834,0.6877972063351042,5.118023964057998,0.523661375,1.7451113578495703,0.01656570253460293,136.53710938,143.42404175,12.250000954,0,Lithology A
1539.2544,520157.375,6753015.0,-1516.526489,17.662164688,0.6918004608899541,0.6809220825842531,5.104556700000373,0.524070859,1.811314122921845,0.015002643627421777,138.00576782,143.6028595,12.250000954,0,Lithology A
1539.4064,520157.34375,6753015.0,-1516.67688,17.617303848,0.6782577605553687,0.6721607799595399,5.113589596824294,0.5420110226,1.8544683325152014,0.015294256219061138,141.25874329,143.83218384,12.250000954,0,Lithology A
1539.5584,520157.34375,6753015.0,-1516.827393,17.437486649,0.6507477809756326,0.6457071898110215,5.110557127195722,0.5643955468999999,1.8570191848673423,0.013933707653169916,141.81004333,143.73080444,12.250000954,0,Lithology A
1539.7104,520157.3125,6753015.0,-1516.977783,17.507860184000002,0.6383442236636893,0.6320962611697352,5.079322834698921,0.5767042041,1.8112855207806895,0.013636520086112732,141.89079285,143.83120728,12.250000954,0,Lithology A
1539.8624,520157.3125,6753015.0,-1517.128174,17.637010574,0.616957207260592,0.6121091911328022,5.063186474167119,0.573477149,1.7739119169156838,0.014082267386374596,142.59933472,143.875,12.250000954,0,Lithology A
1540.0144,520157.28125,6753015.0,-1517.278564,17.631038666,0.6158136554682809,0.614340971377799,5.051450355024474,0.5568813682,1.705931075455958,0.013973566972190161,141.53533936,144.68373108,12.250000954,0,Lithology A
1540.1664,520157.28125,6753015.0,-1517.429077,17.722881317,0.6096784141814906,0.6087502730644868,5.072659728439395,0.5543997884,1.6601773931081425,0.012255823932700343,140.05760193,144.55822754,12.250000954,0,Lithology A
1540.3184,520157.25,6753015.0,-1517.579468,17.718938828,0.6287619349284169,0.6278692885550872,5.0854380917266475,0.528265357,1.6310653283981067,0.013969684891838717,139.97494507,144.4375,12.250000954,0,Lithology A
